MaintenanceWorkId,Date,Time,WorksDescription,EquipmentId,TimeTaken
29,23/01/2013,14:44,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,5,128
30,24/11/2013,10:23,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,10,91
31,10/05/2013,8:52,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,9,104
32,8/08/2014,12:18,at feugiat non pretium quis lectus suspendisse potenti in eleifend,9,330
33,1/12/2013,13:32,sollicitudin mi sit amet lobortis sapien sapien non mi integer,10,165
34,15/10/2012,14:23,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,10,324
35,9/10/2013,15:55,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,2,99
36,14/05/2013,15:40,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,8,203
37,27/08/2013,12:02,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,7,298
38,2/04/2014,10:40,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,2,104
39,12/03/2013,9:42,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,8,202
40,16/05/2014,12:53,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,6,153
41,7/09/2013,11:18,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,1,104
42,3/06/2014,12:40,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,4,169
43,16/12/2012,12:45,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,7,257
44,28/06/2014,9:11,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,9,64
45,5/08/2014,13:20,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,9,337
46,6/01/2013,13:32,nisl duis ac nibh fusce lacus purus aliquet at feugiat,10,120
47,19/04/2014,15:47,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi,10,177
48,25/04/2014,13:02,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,1,130
49,3/05/2013,10:28,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,7,246
50,14/04/2014,9:39,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,9,126
51,16/09/2013,10:52,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,5,346
52,11/11/2013,8:04,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,7,230
53,14/06/2013,8:08,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,5,263
54,13/08/2014,9:51,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,4,70
55,17/01/2013,11:45,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,1,296
56,19/07/2014,9:53,tortor risus dapibus augue vel accumsan tellus nisi eu orci,5,25
57,8/04/2014,11:19,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,4,40
58,9/06/2013,13:49,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,7,170
59,25/05/2014,14:40,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,1,165
60,5/03/2014,14:03,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et,3,127
61,3/08/2013,13:30,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo,5,174
62,15/06/2014,13:55,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,8,196
63,2/03/2014,16:43,nulla sed vel enim sit amet nunc viverra dapibus nulla,4,239
64,26/06/2014,13:58,dui vel nisl duis ac nibh fusce lacus purus aliquet at,4,40
65,25/04/2013,11:12,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,4,104
66,24/07/2013,12:16,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,2,93
67,28/10/2013,11:37,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,9,181
68,6/11/2012,14:18,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,9,237
69,8/12/2013,9:21,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,3,57
70,5/10/2013,11:26,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,1,250
71,22/11/2013,16:47,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,6,156
72,16/07/2014,11:45,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,2,318
73,15/08/2013,14:05,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,10,134
74,14/10/2012,15:18,id mauris vulputate elementum nullam varius nulla facilisi cras non,8,268
75,10/08/2014,10:09,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,9,301
76,14/03/2013,9:45,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,6,83
77,15/12/2013,13:26,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,9,131
78,23/03/2013,8:26,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,5,104
79,5/01/2013,8:29,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,10,269
80,18/12/2012,8:08,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,1,347
81,20/04/2014,14:40,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,9,192
82,1/07/2014,13:42,aliquam quis turpis eget elit sodales scelerisque mauris sit amet,1,164
83,16/10/2013,11:58,fusce congue diam id ornare imperdiet sapien urna pretium nisl,1,348
84,5/07/2013,10:57,volutpat dui maecenas tristique est et tempus semper est quam pharetra,1,332
85,10/06/2013,11:55,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,10,137
86,26/02/2014,9:56,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,5,106
87,22/06/2014,12:53,in hac habitasse platea dictumst maecenas ut massa quis augue luctus,4,293
88,18/10/2013,14:30,id mauris vulputate elementum nullam varius nulla facilisi cras non velit,8,270
89,9/01/2013,16:59,id consequat in consequat ut nulla sed accumsan felis ut at,5,115
90,20/09/2013,16:29,posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,10,46
91,17/05/2013,10:28,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,8,211
92,8/06/2014,11:09,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,2,51
93,7/12/2012,14:12,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,6,15
94,19/06/2013,12:37,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,7,47
95,6/05/2014,12:03,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,4,144
96,8/07/2014,11:10,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,3,95
97,21/08/2013,13:35,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,9,74
98,10/04/2013,15:14,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,5,297
99,5/06/2014,12:26,sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,1,82
100,23/05/2014,15:56,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,6,335
101,15/04/2013,16:16,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas,4,306
102,29/12/2012,9:05,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,7,342
103,15/10/2012,15:11,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,3,330
104,19/04/2014,14:45,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,1,276
105,3/11/2012,10:15,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,9,86
106,25/06/2013,12:52,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in,9,261
107,25/09/2013,12:26,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,1,298
108,29/04/2014,10:06,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,9,66
109,8/08/2013,13:29,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,9,83
110,30/04/2014,9:19,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,9,268
111,10/01/2014,13:25,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,7,132
112,19/03/2013,8:15,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,5,347
113,4/06/2014,15:54,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,7,271
114,13/07/2014,12:32,odio donec vitae nisi nam ultrices libero non mattis pulvinar,4,135
115,5/06/2013,12:47,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,5,358
116,27/01/2013,9:04,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,4,336
117,5/06/2013,11:44,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,4,171
118,21/12/2012,11:27,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,1,176
119,28/01/2013,10:01,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,4,190
120,18/08/2014,16:36,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,2,209
121,10/11/2012,15:08,sit amet nunc viverra dapibus nulla suscipit ligula in lacus,10,177
122,20/10/2013,16:46,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in,5,359
123,18/03/2013,14:40,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,2,319
124,28/03/2014,8:27,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius,3,291
125,3/05/2014,9:34,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,7,161
126,25/02/2014,11:52,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,5,60
127,12/09/2013,13:29,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,3,273
128,5/10/2013,14:52,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,7,81
129,14/01/2013,13:37,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,4,51
130,2/04/2014,13:25,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,8,222
131,30/01/2014,9:18,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,5,103
132,29/12/2013,14:54,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,10,263
133,26/03/2013,16:53,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,3,161
134,1/12/2012,10:08,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,2,45
135,9/12/2012,15:53,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,7,171
136,19/04/2013,12:54,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,5,295
137,19/03/2013,13:31,neque sapien placerat ante nulla justo aliquam quis turpis eget elit,8,162
138,29/05/2013,10:38,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,9,88
139,26/06/2013,16:55,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,1,50
140,10/09/2013,8:35,primis in faucibus orci luctus et ultrices posuere cubilia curae duis,8,65
141,4/06/2014,11:35,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,1,239
142,24/12/2013,14:24,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,9,112
143,15/05/2014,8:17,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,3,140
144,14/08/2014,12:47,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,5,22
145,2/06/2014,13:59,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,1,321
146,25/10/2012,10:36,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,6,23
147,25/07/2013,10:13,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,6,293
148,23/03/2014,15:07,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,10,284
149,17/12/2012,13:56,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,5,225
150,22/06/2014,8:58,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,8,284
151,2/04/2013,10:02,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,9,149
152,11/08/2014,11:25,id luctus nec molestie sed justo pellentesque viverra pede ac diam,10,114
153,19/04/2013,10:50,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,6,29
154,30/11/2013,16:36,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,10,318
155,17/11/2013,16:45,in faucibus orci luctus et ultrices posuere cubilia curae donec,10,311
156,20/03/2013,13:33,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui,10,282
157,17/02/2014,15:25,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,7,11
158,6/08/2013,14:37,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,5,204
159,29/12/2012,16:13,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,7,214
160,17/04/2013,16:13,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,4,256
161,2/04/2013,9:57,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,8,283
162,13/05/2014,15:10,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,4,178
163,15/07/2013,16:39,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,4,81
164,11/12/2013,9:47,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,5,155
165,2/04/2013,13:07,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,5,343
166,13/11/2012,9:54,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,9,176
167,17/12/2012,14:23,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,5,14
168,16/12/2012,11:46,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu,3,265
169,15/01/2013,11:15,neque sapien placerat ante nulla justo aliquam quis turpis eget,3,349
170,24/07/2013,16:44,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,6,238
171,23/02/2014,16:50,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,4,158
172,11/09/2013,11:41,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,10,353
173,29/10/2013,14:32,dolor sit amet consectetuer adipiscing elit proin interdum mauris non,3,340
174,29/07/2014,11:18,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis,8,70
175,25/07/2013,9:52,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,4,100
176,5/01/2013,15:45,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,6,30
177,2/02/2014,14:03,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,5,38
178,6/02/2014,9:57,fusce consequat nulla nisl nunc nisl duis bibendum felis sed,3,139
179,5/08/2013,16:13,primis in faucibus orci luctus et ultrices posuere cubilia curae duis,2,141
180,6/03/2014,10:19,fermentum donec ut mauris eget massa tempor convallis nulla neque,7,142
181,16/07/2013,11:53,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,5,101
182,15/05/2014,8:38,turpis donec posuere metus vitae ipsum aliquam non mauris morbi,9,260
183,29/10/2013,11:25,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,6,17
184,16/07/2013,13:59,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,1,230
185,2/01/2013,10:20,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,1,284
186,12/08/2014,13:38,aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,9,351
187,17/12/2013,12:01,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,8,31
188,29/11/2013,16:13,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,1,73
189,5/01/2013,16:50,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus,8,58
190,7/11/2013,9:57,vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,1,62
191,22/08/2014,13:41,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,8,40
192,27/07/2013,16:37,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,4,330
193,16/07/2013,10:16,aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,8,342
194,23/08/2013,11:48,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,1,42
195,13/10/2013,9:27,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,7,171
196,23/06/2014,12:43,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,3,72
197,13/05/2014,8:33,erat volutpat in congue etiam justo etiam pretium iaculis justo,6,147
198,17/12/2012,15:17,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,6,52
199,13/06/2013,16:28,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,7,304
200,25/03/2013,8:37,sapien arcu sed augue aliquam erat volutpat in congue etiam,5,271
201,20/06/2013,15:03,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,3,153
202,25/08/2013,11:13,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,5,305
203,2/02/2014,9:08,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,4,59
204,1/09/2013,11:46,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,6,259
205,18/11/2012,12:31,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,6,19
206,2/08/2014,12:50,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,5,208
207,18/06/2013,16:05,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,1,287
208,8/01/2013,11:12,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo,6,220
209,27/11/2012,11:28,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,8,37
210,29/01/2013,11:17,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,8,131
211,23/08/2013,12:35,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,8,152
212,11/12/2012,16:24,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,2,265
213,23/05/2013,13:16,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,6,338
214,24/05/2014,9:21,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,4,114
215,15/08/2014,14:14,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,3,296
216,15/09/2013,11:45,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,9,151
217,17/03/2014,12:06,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,5,176
218,18/10/2012,15:36,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,6,134
219,15/10/2013,14:09,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,5,268
220,22/08/2014,9:23,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,4,20
221,12/04/2014,13:34,risus semper porta volutpat quam pede lobortis ligula sit amet,1,186
222,25/03/2013,12:04,amet cursus id turpis integer aliquet massa id lobortis convallis tortor,9,56
223,28/05/2014,13:27,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,9,51
224,26/04/2014,11:44,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,4,90
225,13/07/2013,15:45,elit proin interdum mauris non ligula pellentesque ultrices phasellus id,4,261
226,12/01/2014,12:29,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,9,164
227,7/11/2013,8:17,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,8,22
228,23/06/2013,13:37,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,5,140
229,22/02/2013,10:25,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,7,320
230,17/02/2014,16:13,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,6,67
231,14/02/2013,14:26,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,6,212
232,18/01/2014,8:40,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,8,274
233,14/05/2013,11:45,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,9,227
234,19/08/2013,11:22,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,6,148
235,30/01/2013,9:33,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,10,183
236,8/10/2013,8:18,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,4,281
237,6/05/2013,13:16,venenatis tristique fusce congue diam id ornare imperdiet sapien urna,9,234
238,29/10/2013,11:27,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,6,167
239,6/12/2013,10:40,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis,6,217
240,25/12/2012,15:18,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,5,132
